name,price,link
Shea Moisture Manuka Honey & Yogurt Hydrate & Repair Multi-Action Leave-In Conditioner 237ml,£12.99,https://www.lookfantastic.com/shea-moisture-manuka-honey-yogurt-hydrate-repair-multi-action-leave-in-conditioner-237ml/12206171.html
Shea Moisture Manuka Honey & Yogurt Hydrate & Repair Conditioner 369g,£10.99,https://www.lookfantastic.com/shea-moisture-manuka-honey-yogurt-hydrate-repair-conditioner-369g/12206173.html
"Shea Moisture Jamaican Black Castor Oil Strengthen, Grow & Restore Leave-In Conditioner 431ml",£11.00,https://www.lookfantastic.com/shea-moisture-jamaican-black-castor-oil-strengthen-grow-restore-leave-in-conditioner-431ml/11309672.html
LOOKFANTASTIC Valentine's Day Beauty Edit (worth over £231),£55.00,https://www.lookfantastic.com/beauty-box/lookfantastic-valentine-s-day-beauty-edit-worth-over-231/12444899.html
Color Wow Dream Coat Supernatural Spray 200ml,£27.00,https://www.lookfantastic.com/color-wow-dream-coat-supernatural-spray-200ml/11516014.html
Olaplex Shampoo and Conditioner Bundle,£56.00,https://www.lookfantastic.com/olaplex-shampoo-and-conditioner-bundle/12219541.html
Myvitamins Hair Skin and Nails Gummies,£13.39,https://www.lookfantastic.com/vitamins/myvitamins-hair-skin-and-nails-gummies/12376930.html
Pureology Color Fanatic Multi-Purpose Hair Spray 200ml,£24.96,https://www.lookfantastic.com/pureology-color-fanatic-multi-purpose-hair-spray-200ml/11124912.html
Grow Gorgeous Hair Growth Serum Intense Duo (2 x 30ml),£56.00,https://www.lookfantastic.com/grow-gorgeous-hair-growth-serum-intense-duo-2-x-30ml/15061358.html
Christophe Robin Mini Hair Essentials,£14.50,https://www.lookfantastic.com/christophe-robin-mini-hair-essentials/13411320.html
Redken All Soft Shampoo 300ml,£18.49,https://www.lookfantastic.com/redken-all-soft-shampoo-300ml/10302812.html
Matrix Total Results Miracle Creator Multi-Tasking 20 Benefits Treatment Spray for All Hair Types 190ml,£14.95,https://www.lookfantastic.com/matrix-total-results-miracle-creator-multi-tasking-20-benefits-treatment-spray-for-all-hair-types-190ml/11329696.html
Pureology Hydrate Conditioner 266ml,£23.04,https://www.lookfantastic.com/pureology-hydrate-conditioner-266ml/12594150.html
Redken Extreme Anti-Snap Treatment 250ml,£22.10,https://www.lookfantastic.com/redken-extreme-anti-snap-treatment-250ml/10303794.html
Kérastase Nutritive 8h Magic Night Serum for Dry Hair 90ml,£42.30,https://www.lookfantastic.com/kerastase-nutritive-8h-magic-night-serum-for-dry-hair-90ml/14510098.html
Color Wow One Minute Transformation Styling Cream 120ml,£21.50,https://www.lookfantastic.com/color-wow-one-minute-transformation-styling-cream-120ml/11310096.html
Shea Moisture Coconut & Hibiscus Curl Enhancing Smoothie 326ml,£11.00,https://www.lookfantastic.com/shea-moisture-coconut-hibiscus-curl-enhancing-smoothie-326ml/11309661.html
Olaplex No.6 100ml,£28.00,https://www.lookfantastic.com/olaplex-no.6-100ml/13601976.html
Color Wow Travel Dream Coat Supernatural Spray 50ml,£12.50,https://www.lookfantastic.com/color-wow-travel-dream-coat-supernatural-spray-50ml/11870457.html
Redken Acidic Bonding Concentrate Bond Repair Sulphate Free Shampoo for Gentle Cleansing 300ml,£21.85,https://www.lookfantastic.com/redken-acidic-bonding-concentrate-bond-repair-sulphate-free-shampoo-for-gentle-cleansing-300ml/12851007.html
"Shea Moisture Jamaican Black Castor Oil Strengthen, Grow & Restore Leave-In Conditioner 431ml",£11.00,https://www.lookfantastic.com/shea-moisture-jamaican-black-castor-oil-strengthen-grow-restore-leave-in-conditioner-431ml/11309672.html
"Kérastase Symbiose Moisturising Anti-Dandruff Cellular Shampoo, For Dry Sensitive Scalp, Prone To Dandruff, 250ml",£25.43,https://www.lookfantastic.com/kerastase-symbiose-moisturising-anti-dandruff-cellular-shampoo-for-dry-sensitive-scalp-prone-to-dandruff-250ml/14203954.html
MONDAY Haircare Smooth Shampoo 800ml,£10.00,https://www.lookfantastic.com/monday-haircare-smooth-shampoo-800ml/13881879.html
Kérastase Blond Absolu Cicaflash Treatment 250ml,£28.68,https://www.lookfantastic.com/kerastase-blond-absolu-cicaflash-treatment-250ml/11994698.html
OUAI Detox Shampoo 300ml,£28.00,https://www.lookfantastic.com/ouai-detox-shampoo-300ml/12560959.html
Olaplex No. 5 Bond Maintenance Conditioner 100ml,£14.00,https://www.lookfantastic.com/olaplex-no.-5-bond-maintenance-conditioner-100ml/12647113.html
Color Wow Extra Strength Dream Coat Ultra Moisturizing Anti Frizz Treatment 200ml,£32.00,https://www.lookfantastic.com/color-wow-extra-strength-dream-coat-ultra-moisturizing-anti-frizz-treatment-200ml/14813005.html
Kérastase Elixir Ultime L'Original Oil 30ml,£24.75,https://www.lookfantastic.com/kerastase-elixir-ultime-l-original-oil-30ml/13675281.html
