Name,Price,Ingredients,Product_Link,Category
Revolution Pro Miracle Oil,£8.00,"Prunus Armeniaca(Apricot) Kernel Oil, Persea Gratissima Oil, Olea Europaea Fruit Oil, Helianthus Annuus Seed Oil, Caprylic/ Capric Triglyceride, Orbignya Oleifera Seed Oil, Silica Dimethyl Silylate, Cocoyl Hydrolyzed Collagen, Rubus Idaeus Seed Oil, Vaccinium Myrtillus Seed Oil, Oenothera Biennis Oil, Lavandula Angustifolia Flower Oil, Jasminum Officinale Flower Extract, Tocopheryl Acetate, Citrus Aurantium Amara Flower Oil, Acmella Oleracea Extract, Rosa Centifolia Flower Extract, Tocopherol, Combretum Farinosum Flower Nectar, Alcoholdenat, Limonene, Citronellol,Geraniol, Linalool.",https://www.lookfantastic.com/revolution-pro-miracle-oil/14272480.html,Oils
ESPA Nourishing Lip Treatment 5ml,£16.80,"Oleic/Linoleic/Linolenic Polyglycerides, Ricinus Communis (Castor) Seed Oil, Vitis Vinifera (Grape) Seed Oil, Polyamide-8, Squalane, Ethylhexyl Palmitate, Isopropyl Palmitate, Punica Granatum Seed Oil, Rubus Idaeus (Raspberry) Seed Oil, Limonene, Citrus Paradisi (Grapefruit) Peel Oil, Helianthus Annuus (Sunflower) Seed Oil, Lecithin, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Citrus Aurantium Dulcis (Orange) Peel Extract, Citrus Aurantifolia (Lime) Oil, Citrus Limon (Lemon) Peel Oil, Aroma* (Flavour), Aqua (Water), Trihydroxystearin, Rosmarinus Officinalis (Rosemary) Leaf Extract, Elettaria Cardamomum Seed Oil, Mentha Arvensis Leaf Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, Swertia Chirata Extract, Linalool, Citral, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Sodium Hyaluronate, Glucomannan. *100% Natural Aroma. ",https://www.lookfantastic.com/espa-nourishing-lip-treatment/12226521.html,Oils
Aveeno Skin Relief Body Oil Spray 200ml,£9.49,"Glycine Soja Oil, Avena Sativa Kernel (Oat) Oil, Simmondsia Chinensis Seed Oil, Lecithin, Ascorbyl Palmitate, Tocopherol, Parfum.",https://www.lookfantastic.com/aveeno-skin-relief-body-oil-spray-200ml/13434913.html,Oils
CeraVe Hydrating Foaming Oil Cleanser 236ml,£14.50,"Aqua/Water, Glycerin, PEG-200 Hydrogenated Glyceryl Palmate, Coco-Betaine, Disodium Cocoyl Glutamate, PEG-120 Methyl Glucose Dioleate, Polysorbate 20, PEG-7 Glyceryl Cocoate, PEG-150 Pentaerythrityl Tetrastearate, PPG-5-Ceteth-20, PEG-6 Caprylic/Capric Glycerides, Sualane, Ceramide NP, Ceramide AP, Ceramide EOP, Carbomer, Triethyl Citrate, Sodium Chloride, Sodium Hydroxide, Sodium Cocoyl Glutamate, Sodium Lauroyl Lactylate, Sodium Hyaluronate, Cholesterol, Citric Acid, Capryloyl Glycine, Hydroxyacetophenone, Caprylyl Glycol, Caprylic/Capric Triglyceride, Trisodium Ethylenediamine Disuccinate, Phytosphingosine, Xanthan Gum, Benzoic Acid.",https://www.lookfantastic.com/cerave-hydrating-foaming-oil-cleanser-236ml/13494900.html,Oils
The Ordinary Squalane Cleanser 150ml,£14.90,"Squalane, Aqua (Water), Coco-Caprylate/Caprate, Glycerin, Sucrose Stearate, Ethyl Macadamiate, Caprylic/Capric Triglyceride, Hydrogenated Starch Hydrolysate, Sucrose Laurate, Polyacrylate Crosspolymer-6, Isoceteth-20, Sodium Polyacrylate, Tocopherol, Hydroxymethoxyphenyl Decanone, Trisodium Ethylenediamine Disuccinate, Malic Acid, Ethylhexylglycerin, Chlorphenesin.",https://www.lookfantastic.com/the-ordinary-squalane-cleanser-150ml/12298178.html,Oils
Eve Lom Cleansing Oil Capsules Travel Pack 17.5ml,£25.00,"Caprylic/Capric Triglyceride, Vitis Vinifera (Grape) Seed Oil, Isopropyl Isostearate, Isopropyl Myristate, Triisostearin, Crambe Abyssinica Seed Oil, Laureth-7 Citrate, Camelina Sativa Seed Oil, C12-13 Pareth-3, Polyglyceryl-4 Oleate, Chamomilla Recutita (Matricaria) Flower Oil, Eucalyptus Globulus Leaf Oil, Eugenia Caryophyllus (Clove) Leaf Oil, Humulus Lupulus (Hops) Cone Oil, Magnolia Officinalis Bark Extract, Tocopherol, Eugenol, Limonene.",https://www.lookfantastic.com/eve-lom-cleansing-oil-capsules-travel-pack-17.5ml/12239113.html,Oils
Pai Skincare Carbon Star Detoxifying Overnight Face Oil 30ml,£39.00,"Nigella Sativa Seed Oil* (Black Cumin Seed Oil), Caprylic/Capric Triglyceride, Copaifera Officinalis Resin* (Copaiba Balsalm), Euterpe Oleracea Fruit Oil* (Açai Fruit Oil), Tocopherol (Vitamin E), Carapa Guaianensis Seed Oil* (Andiroba Oil), Charcoal Powder. *Organic Of Total: 52% Organic, 100% Natural.",https://www.lookfantastic.com/pai-skincare-carbon-star-detoxifying-overnight-face-oil-30ml/12954000.html,Oils
PURITO Centella Green Level Eye Cream 30ml,£17.80,"Centella Asiatica Extract, Water, Hydrogenated Poly, Glycerin, Cetyl Ethylhexanoate, Caprylic/Capric Triglyceride, Cetyl Alcohol, 1,2-Hexanediol, Butylene Glycol, Dipropylene Glycol, Methyl Trimethicone, Pentaerythrityl Tetraisostearate, Dipentaerythrityl Hexa C5-9 Acid Esters, Potassium Cetyl Phosphate, Sodium Hyaluronate, Butyrospermum Parkii Butter, Panthenol, Palmitoyl Dipeptide-10, Palmitoyl Tripeptide-1, Palmitoyl Tetrapeptide-7, Palmitoyl Hexapeptide-12, Polyglyceryl-2 Stearate, Asiaticoside, Asiatic Acid, Madecassic Acid, Stearic Acid, Glyceryl Stearate, Stearyl Alcohol, Macadamia Ternifolia Seed Oil, Limnanthes Alba Seed Oil, Argania Spinosa Kernel Oil, Caprylyl Glycol, Cetearyl Olivate, Sorbitan Olivate, Camellia Sinensis Leaf Extract, Pancratium Maritimum Extract, Acetyl Glucosamine, Ceramide NP, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Adenosine, Tromethamine, Carbomer, Disodium EDTA, Lavandula Angustifolia Oil, Citrus Aurantium Bergamia Fruit Oil, Linalool, Limonene.",https://www.lookfantastic.com/purito-centella-green-level-eye-cream-30ml/13455588.html,Oils
Mama Mio Supersize Bundle (Worth £48.00),£40.00,"Aloe Barbadensis Leaf Juice, Aqua/Water/Eau, Ethylhexyl Palmitate, Coconut Alkanes, Butyrospermum Parkii (Shea) Butter, Cetyl Alcohol, Glycerin, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Cetearyl Alcohol, Caprylic/Capric Triglyceride, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Glyceryl Stearate Citrate, Myristyl Myristate, Phenoxyethanol, Fragrance (Parfum)*, Isohexadecane, Hydroxyacetophenone, Sodium Stearoyl Glutamate, Limonene, Coco-Caprylate/Caprate, Polysorbate 80, Ethylhexylglycerin, Argania Spinosa Kernel Oil, Cocos Nucifera (Coconut) Oil, Olea Europaea (Olive) Fruit Oil, Persea Gratissima (Avocado) Oil, Rosa Canina Fruit Oil, Plukenetia Volubilis Seed Oil, Sorbitan Oleate, Glyceryl Caprylate, Tocopherol, Helianthus Annuus (Sunflower) Seed Oil, Citral, Linalool, 1,2-Hexanediol, Beta-Glucan, Caprylyl Glycol, Sodium Benzoate, Citric Acid, Sodium Hydroxide.",https://www.lookfantastic.com/mama-mio-supersize-bundle/12507566.html,Oils
Trilogy Certified Organic Rosehip Oil 45ml,£34.50,,https://www.lookfantastic.com/trilogy-certified-organic-rosehip-oil-45ml/10557482.html,Oils
