Name,Price,Ingredients,Product_Link
L'Oréal Paris Pure Retinol Revitalift Laser Night Serum 30ml,£31.99,"Aqua / Water, Glycerin, Alcohol Denat., Isononyl Isononanoate, Pentylene Glycol, Dicaprylyl Ether, Glycine Soja Oil / Soybean Oil, Propylene Glycol, Peg-6 Caprylic/Capric Glycerides, Citric Acid, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Sodium Hyaluronate, Trisodium Ethylenediamine Disuccinate, Retinol, Dicaprylyl Carbonate, Ammonium Polyacryloyldimethyl Taurate, Butylene Glycol, Caprylyl Glycol, Glyceryl Isostearate, Ppg-6-Decyltetradeceth-30, Tocopherol, Xanthan Gum, Benzyl Alcohol, Citronellol, Isoeugenol, Limonene, Linalool, Phenoxyethanol, Parfum / Fragrance. (F.I.L. B264237/1).",https://www.lookfantastic.com/l-oreal-paris-pure-retinol-revitalift-laser-night-serum-30ml/12765069.html
Kitsch Stainless Steel Gua Sha Tool,£24.00,,https://www.lookfantastic.com/kitsch-stainless-steel-gua-sha-tool/14300032.html
NuFACE Hydrating Aqua Gel 97.6ml,£43.20,"Water/Aqua/Eau, Propanediol, Sea Silt Extract, Hydrolyzed Hyaluronic Acid, Adenosine, Olivine Extract, Tremella Fuciformis Sporocarp Extract, Betaine, Glycerin, Carbomer, Hydroxyethylcellulose, Ethylhexylglycerin, Caprylyl Glycol, Sodium Citrate, Tocopherol, Benzyl Alcohol, Glyceryl Caprylate, Glyceryl Undecylenate, Potassium Sorbate, Disodium Phosphate, Sodium Phosphate, Sodium Metabisulfite, Phenoxyethanol, Sodium Hydroxide, Sodium Nitrate. May contain Citric Acid.",https://www.lookfantastic.com/nuface-hydrating-aqua-gel-97.6ml/13036302.html
LANEIGE Lip Sleeping Mask - Berry (Original) 20g,£21.00,"Diisostearyl Malate, Hydrogenated Polyisobutene, Phyto-Steryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate, Hydrogenated Poly(C6-14 Olefin), Polybutene, Microcrystalline Wax / Cera Microcristallina / Cire Microcri[1]Stalline, Butyrospermum Parkii (Shea) Butter, Synthetic Wax, Ethylene/Propylene/ Styrene Copolymer, Sucrose Tetrastearate Triacetate, Mica, Euphorbia Cerifera (Candelilla) Wax / Euphorbia Cerifera Cera / Cire De Candelilla, Candelilla Wax Esters, Astrocaryum Murumuru Seed Butter, Titanium Dioxide (Ci 77891), Fragrance / Parfum, Glyceryl Caprylate, Polyglyceryl-2 Diisostearate, Butylene/Ethylene/Styrene Copolymer, Copernicia Cerifera (Carnauba) Wax / Copernicia Cerifera Cera / Cire De Carnauba, Methicone, Polyglyceryl-2 Triisostearate, Cocos Nucifera (Coconut) Oil, Yellow 6 Lake (Ci 15985), Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Red 6 (Ci 15850), Ascorbic Acid, Water / Aqua / Eau, Glycerin, Propanediol, Bht, Punica Granatum Fruit Juice, Rubus Idaeus (Raspberry) Juice, Vitis Vinifera (Grape) Juice.",https://www.lookfantastic.com/laneige-lip-sleeping-mask-berry-original-20g/14234447.html
COSRX AC Collection Acne Patch (26 Patches),£6.99,"Carboxymethylcellulose Sodium, Polyisobutene, Rosin, Polybutene, Mineral Oil, Centella Asiatica Extract, Polyuethane Film.",https://www.lookfantastic.com/cosrx-ac-collection-acne-patch-26-patches/12269560.html
CeraVe Foaming Cleanser with Niacinamide for Normal to Oily Skin 236ml,£11.50,"Aqua / Water, Cocamidopropyl Hydroxysultaine, Sodium Lauroyl Sarcosinate, Propanediol, Peg-150 Pentaerythrityl Tetrastearate, Peg-6 Caprylic/ Capric Glycerides, Glycerin, Ceramide Np, Ceramide Ap, Ceramide Eop, Carbomer, Niacinamide, Sodium Methyl Cocoyl Taurate, Sodium Benzoate, Sodium Chloride, Sodium Lauroyl Lactylate, Sodium Hyaluronate, Cholesterol, Phenoxyethanol, Disodium Edta, Citric Acid, Tetrasodium Edta, Phytosphingosine, Xanthan Gum, Ethylhexylglycerin (Code F.I.L. D250307/1).",https://www.lookfantastic.com/cerave-foaming-cleanser-with-niacinamide-for-normal-to-oily-skin-236ml/11798698.html
The Ordinary Matrixyl 10% + HA High Strength Peptide Formulation 30ml,£10.40,"Aqua (Water), Glycerin, Butylene Glycol, Palmitoyl Tripeptide-1, Palmitoyl Tetrapeptide-7, Palmitoyl Tripeptide-38, Sodium Hyaluronate, Hydroxypropyl Cyclodextrin, PPG-26-Buteth-26, PEG-40 Hydrogenated Castor Oil, Polyacrylamide Crosspolymer-6, Trisodium Ethylenediamine Disuccinate, Carbomer, Polysorbate 20, Ethoxydiglycol, Phenoxyethanol, Chlorphenesin.",https://www.lookfantastic.com/the-ordinary-matrixyl-10-ha-high-strength-peptide-formulation-30ml/11363394.html
VICHY Minéral 89 Eye Brightening Serum with Hyaluronic Acid & Caffeine 15ml,£21.50,"Aqua/Water, Propanediol, Butyrospermum Parkii Butter/Shea Butter, Glycerin, Carbomer, Caffeine, Sodium Hyaluronate, Adenosine, Phenoxyethanol, Chlorella Vulgaris Extract, Citric Acid, Caprylyl Glycol, Biosaccharide Gum-1. ",https://www.lookfantastic.com/vichy-mineral-89-eye-brightening-serum-with-hyaluronic-acid-caffeine-15ml/12098877.html
La Roche-Posay Effaclar Duo+ SPF30 with Niacinamide 40ml,£21.00,"Aqua/Water, Octocrylene, Glycerin, Homosalate, Ethylhexyl Salicylate, Alcohol, Denat., Niacinamide, Butyl, Methoxydi B E Nzoylmethane, Dimethicone, Sorbitan Stearate, Silica, Isopropyllauroyl, Sarcosinate, Styrene/Acrylates.",https://www.lookfantastic.com/la-roche-posay-effaclar-duo-spf30-with-niacinamide-40ml/11434756.html
CeraVe Hydrating Cleanser 473ml,£17.00,"Aqua/Water, Glycerin, Cetearyl Alcohol, Phenoxyethanol, Stearyl Alcohol, Cetyle Alcohol, Peg-40 Stearate, Behentrimonium Methosulfate, Glyceryl Stearate, Polysorbate 20, Ethlyhexylglycerin, Potassium Phosphate, Disodium Edta, Dipotassium Phosphate, Sodium Lauroyl Lactylate, Ceramide Np, Ceramide Ap, Phytosphingosine, Cholesterol, Sodium Hyaluronate, Xanthum Gum, Carbomer, Tocopherol, Ceramide Eop.",https://www.lookfantastic.com/cerave-hydrating-cleanser-473ml/11798699.html
